ST_length	        length	            misc,raw,lengthdep
AC_nl_122	AC_nl_122	correlation,autocorrelation,nonlinearautocorr
AC_nl_133	AC_nl_133	correlation,autocorrelation,nonlinearautocorr
AC_nl_223	AC_nl_223	correlation,autocorrelation,nonlinearautocorr
AC_nl_233	AC_nl_233	correlation,autocorrelation,nonlinearautocorr
CO_RM_AMInformation_0	RM_ami_0	information,correlation,AMI
CO_RM_AMInformation_1	RM_ami_1	information,correlation,AMI
CO_RM_AMInformation_2	RM_ami_2	information,correlation,AMI
CO_RM_AMInformation_3	RM_ami_3	information,correlation,AMI
CO_RM_AMInformation_4	RM_ami_4	information,correlation,AMI
CO_RM_AMInformation_5	RM_ami_5	information,correlation,AMI
CO_RM_AMInformation_6	RM_ami_6	information,correlation,AMI
CO_RM_AMInformation_7	RM_ami_7	information,correlation,AMI
CO_RM_AMInformation_8	RM_ami_8	information,correlation,AMI
CO_RM_AMInformation_9	RM_ami_9	information,correlation,AMI
CO_RM_AMInformation_10	RM_ami_10	information,correlation,AMI
CO_FirstMin_mi-gaussian     firstMin_mi-gaussian    correlation,AMI
CO_FirstMin_mi-kernel       firstMin_mi-kernel    correlation,AMI
CO_FirstMin_mi-kraskov1_4     firstMin_mi-kraskov1_4    correlation,AMI
CO_FirstMin_mi-kraskov2_4       firstMin_mi-kraskov2_4    correlation,AMI
CO_FirstMin_mi-hist_5       firstMin_mi-hist_5    correlation,AMI
CO_FirstMin_mi-hist_10      firstMin_mi-hist_10    correlation,AMI
CO_HistogramAMI_std1_2.ami1        CO_HistogramAMI_std1_2_1    information,correlation,AMI
CO_HistogramAMI_std1_2.ami2     CO_HistogramAMI_std1_2_2    information,correlation,AMI
CO_HistogramAMI_std1_2.ami3     CO_HistogramAMI_std1_2_3    information,correlation,AMI
CO_HistogramAMI_std1_2.ami4     CO_HistogramAMI_std1_2_4    information,correlation,AMI
CO_HistogramAMI_std1_2.ami5     CO_HistogramAMI_std1_2_5    information,correlation,AMI
CO_HistogramAMI_std1_5.ami1     CO_HistogramAMI_std1_5_1    information,correlation,AMI
CO_HistogramAMI_std1_5.ami2     CO_HistogramAMI_std1_5_2    information,correlation,AMI
CO_HistogramAMI_std1_5.ami3     CO_HistogramAMI_std1_5_3    information,correlation,AMI
CO_HistogramAMI_std1_5.ami4     CO_HistogramAMI_std1_5_4    information,correlation,AMI
CO_HistogramAMI_std1_5.ami5     CO_HistogramAMI_std1_5_5    information,correlation,AMI
CO_HistogramAMI_std1_10.ami1     CO_HistogramAMI_std1_10_1    information,correlation,AMI
CO_HistogramAMI_std1_10.ami2     CO_HistogramAMI_std1_10_2    information,correlation,AMI
CO_HistogramAMI_std1_10.ami3     CO_HistogramAMI_std1_10_3    information,correlation,AMI
CO_HistogramAMI_std1_10.ami4     CO_HistogramAMI_std1_10_4    information,correlation,AMI
CO_HistogramAMI_std1_10.ami5     CO_HistogramAMI_std1_10_5    information,correlation,AMI
CO_HistogramAMI_std2_2.ami1        CO_HistogramAMI_std2_2_1    information,correlation,AMI
CO_HistogramAMI_std2_2.ami2     CO_HistogramAMI_std2_2_2    information,correlation,AMI
CO_HistogramAMI_std2_2.ami3     CO_HistogramAMI_std2_2_3    information,correlation,AMI
CO_HistogramAMI_std2_2.ami4     CO_HistogramAMI_std2_2_4    information,correlation,AMI
CO_HistogramAMI_std2_2.ami5     CO_HistogramAMI_std2_2_5    information,correlation,AMI
CO_HistogramAMI_std2_5.ami1     CO_HistogramAMI_std2_5_1    information,correlation,AMI
CO_HistogramAMI_std2_5.ami2     CO_HistogramAMI_std2_5_2    information,correlation,AMI
CO_HistogramAMI_std2_5.ami3     CO_HistogramAMI_std2_5_3    information,correlation,AMI
CO_HistogramAMI_std2_5.ami4     CO_HistogramAMI_std2_5_4    information,correlation,AMI
CO_HistogramAMI_std2_5.ami5     CO_HistogramAMI_std2_5_5    information,correlation,AMI
CO_HistogramAMI_std2_10.ami1     CO_HistogramAMI_std2_10_1    information,correlation,AMI
CO_HistogramAMI_std2_10.ami2     CO_HistogramAMI_std2_10_2    information,correlation,AMI
CO_HistogramAMI_std2_10.ami3     CO_HistogramAMI_std2_10_3    information,correlation,AMI
CO_HistogramAMI_std2_10.ami4     CO_HistogramAMI_std2_10_4    information,correlation,AMI
CO_HistogramAMI_std2_10.ami5     CO_HistogramAMI_std2_10_5    information,correlation,AMI
CO_HistogramAMI_even_2.ami1        CO_HistogramAMI_even_2_1    information,correlation,AMI
CO_HistogramAMI_even_2.ami2     CO_HistogramAMI_even_2_2    information,correlation,AMI
CO_HistogramAMI_even_2.ami3     CO_HistogramAMI_even_2_3    information,correlation,AMI
CO_HistogramAMI_even_2.ami4     CO_HistogramAMI_even_2_4    information,correlation,AMI
CO_HistogramAMI_even_2.ami5     CO_HistogramAMI_even_2_5    information,correlation,AMI
CO_HistogramAMI_even_5.ami1     CO_HistogramAMI_even_5_1    information,correlation,AMI
CO_HistogramAMI_even_5.ami2     CO_HistogramAMI_even_5_2    information,correlation,AMI
CO_HistogramAMI_even_5.ami3     CO_HistogramAMI_even_5_3    information,correlation,AMI
CO_HistogramAMI_even_5.ami4     CO_HistogramAMI_even_5_4    information,correlation,AMI
CO_HistogramAMI_even_5.ami5     CO_HistogramAMI_even_5_5    information,correlation,AMI
CO_HistogramAMI_even_10.ami1     CO_HistogramAMI_even_10_1    information,correlation,AMI
CO_HistogramAMI_even_10.ami2     CO_HistogramAMI_even_10_2    information,correlation,AMI
CO_HistogramAMI_even_10.ami3     CO_HistogramAMI_even_10_3    information,correlation,AMI
CO_HistogramAMI_even_10.ami4     CO_HistogramAMI_even_10_4    information,correlation,AMI
CO_HistogramAMI_even_10.ami5     CO_HistogramAMI_even_10_5    information,correlation,AMI
CO_HistogramAMI_quantiles_2.ami1        CO_HistogramAMI_quantiles_2_1    information,correlation,AMI
CO_HistogramAMI_quantiles_2.ami2     CO_HistogramAMI_quantiles_2_2    information,correlation,AMI
CO_HistogramAMI_quantiles_2.ami3     CO_HistogramAMI_quantiles_2_3    information,correlation,AMI
